HLA-DMB,5.64766666666667,5.29666666666667,6.40166666666667,5.76066666666667,5.12233333333333,5.48783333333333,5.78816666666667,4.709,5.69483333333333,5.8175,5.18633333333333,5.853,5.2595,6.2895,5.333,5.447
RRAGA,0.18425,0.39325,-0.46625,-0.0895,0.41225,0.44375,0.3745,0.717,0.09625,0.4025,0.2245,0.15325,0.6675,0.2255,0.182,0.56825
CPN1,-2.21275,-3.0535,-2.32175,-2.94175,-1.2775,-3.79375,-2.998,-2.71425,-2.7095,-2.6145,-1.41675,-2.282,-3.33725,-2.039,-1.9265,-1.91775
MGC52282,-0.7234,2.3179,0.7554,-1.0428,-0.2339,1.0549,0.8875,-0.546,0.9063,-0.2605,2.2273,0.00930000000000001,1.9738,-0.0614,1.2355,1.2261
OR9G4,0.151,-0.094,-0.269,-0.018,-0.089,0.1615,0.3945,0.018,-0.109,-0.358,0.151,0.1215,0.3615,-0.1525,-0.2655,-0.235
EDNRB,-0.889,0.266625,-0.031375,0.719375,-1.4665,-1.081875,-0.448125,-0.29275,0.153625,-0.511125,-1.498625,0.118875,-1.6225,-1.4055,0.247875,-0.782875
SCD,-2.38564285714286,-0.526857142857143,-3.04707142857143,-1.76714285714286,-1.74814285714286,-0.971714285714286,0.149142857142857,-1.37442857142857,-2.79807142857143,-2.43,0.779642857142857,-1.624,-0.00342857142857143,-1.57435714285714,-1.513,-2.24264285714286
BAGE2,-1.243,-0.4015,-1.286,-0.215,3.254,-0.7755,-0.4125,-0.207,-0.413,-0.042,-0.8695,-1.472,-0.6455,-0.35,-0.9775,-0.239
STAT3,0.8684375,1.05225,0.8463125,1.0283125,1.07075,1.0358125,0.579375,1.9223125,0.677125,0.889,1.895375,0.896375,1.1229375,0.45125,1.2285625,0.7713125
ATN1,0.373,-0.169666666666667,0.421166666666667,0.502666666666667,0.266333333333333,-0.149333333333333,-0.00399999999999999,0.318833333333333,0.00549999999999995,-0.0658333333333333,0.0446666666666667,0.103666666666667,-0.0663333333333333,0.4225,0.111833333333333,0.121833333333333
SEPT9,-0.79875,0.229125,-0.66775,-0.310875,0.4205,-0.341125,-0.00137500000000002,0.174,-0.15275,0.04875,-0.588,-1.34375,0.147625,-0.8215,0.204875,-0.668
OXR1,0.462,0.658,1.466,0.541,-0.09625,0.899166666666667,1.39033333333333,0.75875,1.077,1.271,1.42325,1.01041666666667,0.117666666666667,1.20533333333333,0.1375,-0.277916666666667
DGKB,-0.9495,-0.381,-0.2465,-0.391,0.6638,-0.983333333333333,-0.4416,-0.4725,-0.458833333333333,-0.435,3.91933333333333,-0.735,3.41083333333333,-0.138666666666667,0.3795,-0.146166666666667
MIR16,0.7065,1.575125,1.727625,1.221,0.793125,-0.030875,1.450375,1.036875,1.824125,1.3235,0.458875,1.4615,1.601125,0.584875,0.922625,0.500125
WDR4,-0.449,-1.55416666666667,-1.33233333333333,-2.2105,-1.4865,-2.44283333333333,-0.819,-1.51333333333333,-2.2265,-1.03933333333333,-0.291666666666667,-1.14666666666667,-1.4635,-1.15433333333333,-2.25716666666667,-2.01066666666667
CDK5R2,1.08875,0.429,1.477,1.065875,0.485625,0.894375,0.762375,0.22725,1.393875,0.75,1.00325,0.992875,0.46525,1.908,0.450875,0.38725
C5orf34,-3.21325,-1.46075,-1.4275,-3.3455,-2.11125,-1.80975,-1.63475,-1.80875,-2.48425,-2.08975,-1.154,-1.7425,-0.13275,-1.452,-2.77125,-0.96125
DAPK2,2.87366666666667,2.453,3.49116666666667,1.7615,2.78833333333333,1.36466666666667,2.20733333333333,0.966833333333333,1.70516666666667,2.07166666666667,0.79,2.26633333333333,1.88983333333333,1.59616666666667,1.767,0.768166666666667
TMED5,0.604,1.314,0.7385,0.51975,1.14725,0.679875,0.89475,-0.024875,0.65275,0.96125,1.02325,0.5715,1.2195,1.10325,-0.08675,0.005
BRP44,1.307375,0.632125,1.480375,1.259875,0.763875,1.286375,1.469,0.686375,1.8025,0.849875,1.37975,0.770625,0.004875,2.03575,0.608125,0.625875
TNFSF18,0.618,0.5515,1.0005,0.796,0.752,-0.3065,0.33,0.4335,0.731,0.626,0.222,0.861,-0.2725,0.879,0.3465,0.591
