Hybridization REF,TCGA-35-3615-01A-01R-0946-07,TCGA-55-1592-01A-01R-0946-07,TCGA-67-3770-01A-01R-0946-07,TCGA-44-2655-01A-01R-0946-07,TCGA-55-1594-01A-01R-0946-07,TCGA-67-3771-01A-01R-0946-07,TCGA-44-2656-01A-02R-0946-07,TCGA-55-1595-01A-01R-0946-07,TCGA-67-3772-01A-01R-0946-07,TCGA-44-2659-01A-01R-0946-07,TCGA-55-1596-01A-01R-0946-07,TCGA-67-3773-01A-01R-0946-07,TCGA-44-2662-01A-01R-0946-07,TCGA-64-1676-01A-01R-0946-07,TCGA-67-3774-01A-01R-0946-07,TCGA-44-2665-01A-01R-0946-07
DMRT3,-0.1025,1.008125,-0.10375,-1.079142857,3.24475,-0.136166667,-1.071625,0.169625,0.341625,-0.362857143,1.581857143,-0.535125,-0.199875,-0.34325,-0.48225,-0.230875
YME1L1,-0.589625,0.059875,-1.018125,-0.302875,0.438125,0.170125,-0.279,-0.078375,-0.4165,-0.208125,0.458625,-0.517375,-0.31675,0.063625,0.00275,0.220625
RP11-218C14.6,0.48275,0.7225,-0.108,-0.0245,0.399,0.5905,-0.43075,-0.067,0.36575,0.202666667,0.53425,-0.16775,0.2035,0.25525,0.1875,0.3675
SC4MOL,-0.268875,-0.505,0.315125,0.539,-1.243625,-1.1995,0.6655,-0.235875,0.415,-0.69975,0.066,-1.099,0.9705,0.61575,-0.110625,-0.364875
C14orf132,-1.199125,0.759625,-0.084,-0.452625,-0.082375,-1.764125,-1.05225,-0.62275,-0.37075,-0.837375,-1.886625,-0.739625,-1.4055,-1.11675,-0.228,0.2865
GUCY2C,0.4855,0.462,-0.1165,1.5575,1.4305,0.028,0.7515,-0.109,1.7455,0.606,2.1695,1.682,0.312,-0.356,0.4845,-0.159
PEX11G,1.2165,0.6385,2.233,0.5035,1.518,1.0185,0.1585,-0.025,1.1485,-0.0475,1.944,1.685,-0.062,0.2825,-0.0275,0.225
PPP2R5A,1.393,1.1264,2.2214,2.1685,0.9759,1.8127,1.9097,1.1023,1.9153,0.953,1.3624,3.1925,0.9447,1.7119,1.0726,1.3894
DDX39,-1.570666667,-1.109333333,-2.387833333,-1.606,-0.556,-0.4945,-0.817,-0.1665,-2.050666667,-1.109666667,-0.374,-0.880833333,-1.123166667,-0.79,-1.921,-1.117
ASCIZ,-0.2016,0.3562,-0.8752,0.2916,0.0739,0.137,0.0557,-0.3657,0.3209,0.6572,0.385,0.0654,0.1316,0.6322,0.7997,0.5543
PTMS,-0.275375,-0.15175,-0.11275,-0.220375,0.623875,-0.405625,-0.418625,0.084125,0.320125,-0.2845,-0.277125,-0.7895,-0.974875,0.074,-0.214,0.0345
PHF7,-0.34425,-0.94875,-0.2235,0.86725,-0.96625,0.2275,-0.7235,0.1645,-0.945,-1.08725,-1.39425,-0.56475,-0.97775,-1.6095,-0.069,-0.0945
SMAD9,-0.11775,0.19225,-0.40275,-0.07375,-0.1075,-0.76075,-1.70225,0.3015,-0.90525,1.06025,1.06725,-0.64025,-3.09625,-1.46575,-0.0735,-0.9435
ATG10,0.22775,-0.614625,0.334625,0.13675,-0.454,-0.91725,-0.125875,-0.773875,-0.706875,-0.913125,-0.2875,-0.336375,-0.438875,-0.7675,-0.995,-0.086
DLGAP4,0.312,0.968666667,0.205,0.498833333,0.922166667,0.570333333,0.132833333,0.175833333,0.5885,1.147833333,1.217666667,0.233166667,0.984166667,0.198,0.034833333,0.707833333
LOC339344,0.841,0.2975,0.769666667,0.841833333,0.4625,0.496,0.375833333,0.034166667,0.661666667,0.316666667,0.683166667,0.6375,0.194333333,1.544166667,0.342166667,0.420333333
ZNF395,-1.2519375,0.089375,-1.107125,-0.7949375,-1.2763125,-0.7719375,-1.270625,-1.365625,-1.0083125,-0.4851875,-1.5128125,-1.15,-0.2395625,-0.837875,-0.310875,-0.24825
HIST1H2BL,0.2745,0.8305,-1.3565,-0.9395,-1.385,0.13775,0.687,-0.633,-1.19175,0.14425,-0.7935,0.27225,-1.77575,-0.563,-0.52525,-0.3595
PALM2,-0.848333333,-0.663166667,-0.479833333,-1.4,-0.5826,-0.5865,-0.9254,-0.397,-0.564833333,-0.210833333,-0.3135,-0.635166667,-0.9825,-1.035,-1.196666667,-0.587833333
PTGES,0.379875,-0.42825,-0.067375,1.9575,-1.88,-0.238375,1.067625,-0.10225,0.156375,0.134625,1.33925,-0.1175,0.2215,1.363,0.026625,0.810875
GDAP1L1,-1.143,-2.4235,-1.6065,-1.824666667,-1.888666667,-0.325666667,-2.147666667,-2.1425,-1.680833333,-1.904166667,-2.0255,-1.68,-2.552166667,-1.1685,-1.861666667,-1.631
WDR20,-0.01925,0.591333333,0.45525,0.396083333,0.813416667,0.497583333,0.547333333,0.012333333,0.278333333,-0.119916667,0.39525,0.216583333,0.304666667,0.326333333,0.392583333,0.532416667
NUP88,0.240625,-1.08175,-0.929,0.0915,-0.444125,-0.1695,-0.253,-0.111375,-0.788125,-1.471375,-0.616625,-0.958,-0.5065,-0.06275,-0.054,-1.035125
DIDO1,-0.806583333,-0.223791667,-1.517458333,-0.78875,-0.326208333,-0.482375,-0.675291667,-0.386458333,-0.901083333,-0.270458333,-1.018291667,-1.277916667,-0.329083333,-0.593666667,-0.321708333,-0.51175
PLA2R1,-0.55075,2.11425,0.1445,0.24025,0.8325,0.58575,0.2565,0.30575,0.63275,0.876,0.84325,0.28425,1.54125,0.63975,-0.02475,0.6835
PNOC,1.4185,0.39125,-1.91475,0.98175,1.918,1.969,2.32125,1.1555,2.212,1.71125,0.48275,0.51575,0.392,0.58025,0.9605,-0.81275
AGGF1,0.565214286,0.544428571,-0.034428571,0.159285714,0.1305,0.785285714,0.182285714,-0.009928571,-0.435857143,-0.075714286,0.7515,0.0675,0.179142857,-0.646785714,-0.237642857,0.450857143
DPF2,-0.8425,-0.05375,0.09675,-0.64325,-0.276,1.00125,0.25125,-0.0455,-0.419,0.361,0.02775,0.7295,0.23625,-0.4215,-0.63725,0.72
TRPV5,0.96925,0.001,0.10325,0.68,-0.352,0.152,0.873666667,0.25375,0.772666667,0.2205,0.0995,0.3655,0.02175,0.42875,0.426,0.597
CARS,-1.347666667,-0.987,-0.818,-1.253333333,-0.016666667,-0.542166667,-0.297666667,-1.250833333,-0.946333333,-0.123333333,-1.212833333,-1.437666667,-0.666166667,-1.632166667,-0.767666667,-0.465
C9orf25,0.407,-0.0265,0.189,0.0915,0.1115,-0.3535,0.247,0.04,0.2165,0.166,0.034,0.461,-0.33,0.195,-0.0615,0.1075
STON1,-1.03125,-0.50525,-0.5795,-0.2145,-0.35475,-0.7465,-0.2035,0.941,0.34,-0.24625,-1.23025,0.22225,0.663,1.4825,0.36225,1.2
PERP,-0.0202,0.7474,1.363,1.1652,0.9581,0.9352,0.9832,0.2194,1.2916,0.029,1.3207,-0.3899,1.3302,0.4701,0.3464,0.5838
